Date,sp500,nasdaq,russell2000,intl_dev,em_equity,tlt,shy,tip,lqd,hyg,emb,gld,uso,dba,uup,vix,vix9d,vix3m,vix6m,vvix,skew,move,ovx,gvz,vxeem
2005-01-03,1202.0799560546875,2152.14990234375,640.4400024414062,28.951871871948242,14.562674522399902,44.73845291137695,54.57880401611328,55.212493896484375,47.897361755371094,,,43.02000045776367,,,,14.079999923706055,,,,,118.37999725341797,83.9000015258789,,,
2005-01-04,1188.050048828125,2107.860107421875,628.5399780273438,28.396852493286133,14.114314079284668,44.269596099853516,54.458229064941406,54.83147048950195,47.62852096557617,,,42.7400016784668,,,,13.979999542236328,,,,,116.02999877929688,83.30000305175781,,,
2005-01-05,1183.739990234375,2091.239990234375,617.47998046875,28.37865447998047,13.941527366638184,44.50653839111328,54.47159194946289,54.76881790161133,47.666969299316406,,,42.66999816894531,,,,14.09000015258789,,,,,114.72000122070312,93.19999694824219,,,
2005-01-06,1187.8900146484375,2090.0,619.8200073242188,28.37865447998047,13.932050704956055,44.536800384521484,54.49839782714844,54.85756301879883,47.701072692871094,,,42.150001525878906,,,,13.579999923706055,,,,,114.1500015258789,92.4000015258789,,,
2005-01-07,1186.18994140625,2088.610107421875,613.2100219726562,28.25126838684082,13.959033012390137,44.637657165527344,54.505104064941406,54.716651916503906,47.679725646972656,,,41.84000015258789,,,,13.489999771118164,,,,,114.94999694824219,92.37999725341797,,,
2005-01-10,1190.25,2097.0400390625,617.739990234375,28.37865447998047,13.97652530670166,44.70823669433594,54.47159194946289,54.753143310546875,47.598655700683594,,,41.95000076293945,,,,13.229999542236328,,,,,116.91999816894531,79.01000213623047,,,
2005-01-11,1182.989990234375,2079.6201171875,611.530029296875,28.324058532714844,13.950276374816895,44.97037887573242,54.4849967956543,54.80537033081055,47.709598541259766,,,42.209999084472656,,,,13.1899995803833,,,,,115.29000091552734,77.8499984741211,,,
2005-01-12,1187.699951171875,2092.530029296875,613.1900024414062,28.55152130126953,14.12160873413086,45.0308837890625,54.49168395996094,54.998512268066406,47.75653076171875,,,42.599998474121094,,,,12.5600004196167,,,,,110.88999938964844,76.94999694824219,,,
2005-01-13,1177.449951171875,2070.56005859375,610.1300048828125,28.305864334106445,14.063279151916504,45.464447021484375,54.558692932128906,55.13943862915039,47.88456344604492,,,42.599998474121094,,,,12.84000015258789,,,,,112.56999969482422,75.7699966430664,,,
2005-01-14,1184.52001953125,2087.909912109375,617.47998046875,28.442344665527344,14.314802169799805,45.45941162109375,54.53189468383789,55.1446418762207,47.94003677368164,,,42.31999969482422,,,,12.430000305175781,,,,,117.0199966430664,76.61000061035156,,,
2005-01-18,1195.97998046875,2106.0400390625,624.8699951171875,28.464176177978516,14.289284706115723,45.61064910888672,54.51179885864258,55.1446418762207,47.96564865112305,,,42.31999969482422,,,,12.470000267028809,,,,,117.55000305175781,76.52999877929688,,,
